city,lat,lng,country,Region,population
Sidi Mohamed Lahmar,34.7167,-6.2667,Morocco,Rabat-Salé-Kénitra,42637
Tineghir,31.5147,-5.5328,Morocco,Drâa-Tafilalet,42044
El Aïoun,34.5852,-2.5056,Morocco,Oriental,41832
Azemmour,33.2878,-8.3422,Morocco,Casablanca-Settat,40920
Temsia,30.36,-9.414,Morocco,Souss-Massa,40780
Zoumi,34.8,-5.35,Morocco,Tanger-Tétouan-Al Hoceïma,40661
Douar Laouamra,31.8,-8.7167,Morocco,Marrakech-Safi,40605
Zagora,30.3306,-5.8381,Morocco,Drâa-Tafilalet,40067
Ait Ourir,31.5644,-7.6628,Morocco,Marrakech-Safi,39108
Sidi Bibi,30.2333,-9.5333,Morocco,Souss-Massa,39042
Aziylal,31.9669,-6.5694,Morocco,Béni Mellal-Khénifra,38520
Sidi Yahia El Gharb,34.3058,-6.3058,Morocco,Rabat-Salé-Kénitra,37979
Biougra,30.2144,-9.3708,Morocco,Souss-Massa,37933
Taounate,34.5358,-4.64,Morocco,Fès-Meknès,37616
Bouznika,33.7897,-7.1575,Morocco,Casablanca-Settat,37238
Aourir,30.4833,-9.6333,Morocco,Souss-Massa,36948
Zaïo,34.9333,-2.7333,Morocco,Oriental,35806
Aguelmous,33.15,-5.8333,Morocco,Béni Mellal-Khénifra,35626
El Hajeb,33.6928,-5.3711,Morocco,Fès-Meknès,35282
Dabouziya,33.3064,-8.3548,Morocco,Casablanca-Settat,34607
Mnasra,34.7667,-5.5167,Morocco,Tanger-Tétouan-Al Hoceïma,34429
Zeghanghane,35.15,-3,Morocco,Oriental,34025
Imzouren,35.15,-3.85,Morocco,Tanger-Tétouan-Al Hoceïma,33852
Oulad Zemam,32.35,-6.6333,Morocco,Béni Mellal-Khénifra,33652
Ben Ahmed,33.0655,-7.2464,Morocco,Casablanca-Settat,33105
Tit Mellil,33.5533,-7.4822,Morocco,Casablanca-Settat,32782
Arbaoua,34.9,-5.9167,Morocco,Rabat-Salé-Kénitra,32690
Douar Oulad Hssine,33.068,-8.5107,Morocco,Casablanca-Settat,32130
Bahharet Oulad Ayyad,34.7702,-6.3047,Morocco,Rabat-Salé-Kénitra,31860
Mechraa Bel Ksiri,34.56,-5.95,Morocco,Rabat-Salé-Kénitra,31497
Mograne,34.4167,-6.4333,Morocco,Rabat-Salé-Kénitra,31292
Dar Ould Zidouh,32.3167,-6.9,Morocco,Béni Mellal-Khénifra,31170
Asilah,35.4667,-6.0333,Morocco,Tanger-Tétouan-Al Hoceïma,31147
Al ’Attawia,31.8347,-7.3125,Morocco,Marrakech-Safi,30315
Demnat,31.7311,-7.0361,Morocco,Béni Mellal-Khénifra,29504
Lalla Mimouna,34.85,-6.0669,Morocco,Rabat-Salé-Kénitra,29479
Fritissa,33.6167,-3.55,Morocco,Fès-Meknès,29460
Arfoud,31.4361,-4.2328,Morocco,Drâa-Tafilalet,29279
Tameslouht,31.5,-8.1,Morocco,Marrakech-Safi,28978
Bou Arfa,32.5309,-1.965,Morocco,Oriental,28846
Sidi Smai’il,32.8167,-8.5,Morocco,Casablanca-Settat,28733
Taza,35.0639,-5.2025,Morocco,Tanger-Tétouan-Al Hoceïma,28713
Souk et Tnine Jorf el Mellah,34.4833,-5.5169,Morocco,Rabat-Salé-Kénitra,28681
Mehdya,34.2597,-6.65,Morocco,Rabat-Salé-Kénitra,28636
Oulad Hammou,33.2499,-8.3346,Morocco,Casablanca-Settat,28449
Douar Oulad Aj-jabri,32.2567,-6.7839,Morocco,Béni Mellal-Khénifra,28438
Aïn Taoujdat,33.9333,-5.2167,Morocco,Fès-Meknès,28288
Dar Bel Hamri,34.1889,-5.9697,Morocco,Rabat-Salé-Kénitra,28156
Chichaoua,31.5333,-8.7667,Morocco,Marrakech-Safi,27869
Tahla,34.05,-4.42,Morocco,Fès-Meknès,27729
Bellaa,30.0314,-9.5542,Morocco,Souss-Massa,27699
Oulad Yaïch,32.4167,-6.3333,Morocco,Béni Mellal-Khénifra,27476
Ksebia,34.2933,-6.1594,Morocco,Rabat-Salé-Kénitra,27059
Ourika Wawrmas,30.7167,-6.5333,Morocco,Drâa-Tafilalet,26990
Tamorot,34.9333,-4.7833,Morocco,Tanger-Tétouan-Al Hoceïma,26748
Moulay Bousselham,34.8786,-6.2933,Morocco,Rabat-Salé-Kénitra,26608
Iheddadene,35.15,-2.9667,Morocco,Oriental,26582
Sabaa Aiyoun,33.9,-5.3667,Morocco,Fès-Meknès,26277
Bourdoud,34.5922,-4.5492,Morocco,Fès-Meknès,26236
Aït Faska,31.5058,-7.7161,Morocco,Marrakech-Safi,26210
Rich,32.2583,-4.5056,Morocco,Drâa-Tafilalet,25992
Boureït,34.9833,-4.9167,Morocco,Tanger-Tétouan-Al Hoceïma,25872
Lamzoudia,31.5833,-8.4833,Morocco,Marrakech-Safi,25674
Oulad Said,32.632,-8.8456,Morocco,Casablanca-Settat,25650
Missour,33.05,-3.9833,Morocco,Fès-Meknès,25584
Ain Aicha,34.4833,-4.7,Morocco,Fès-Meknès,25417
Zawyat ech Cheïkh,32.6414,-5.9206,Morocco,Béni Mellal-Khénifra,25388
Bouknadel,34.1333,-6.7333,Morocco,Rabat-Salé-Kénitra,25255
El Ghiate,32.0331,-9.1625,Morocco,Marrakech-Safi,25162
Safsaf,34.5581,-6.0078,Morocco,Rabat-Salé-Kénitra,25075
Ouaoula,31.8667,-6.75,Morocco,Béni Mellal-Khénifra,24790
Douar Olad. Salem,32.8739,-8.8588,Morocco,Casablanca-Settat,24775
Oulad Tayeb,33.9598,-4.9954,Morocco,Fès-Meknès,24594
Ain Dfali,34.599,-5.5488,Morocco,Rabat-Salé-Kénitra,24521
Echemmaia Est,32.0786,-8.6325,Morocco,Marrakech-Safi,24303
Oulad Barhil,30.6408,-8.475,Morocco,Souss-Massa,24288
Douar ’Ayn Dfali,33.95,-4.45,Morocco,Fès-Meknès,24241
Bir Jdid,33.3737,-8.0002,Morocco,Casablanca-Settat,24136
Setti Fatma,31.2256,-7.6758,Morocco,Marrakech-Safi,24129
Skoura,31.0606,-6.5556,Morocco,Drâa-Tafilalet,24055
Douar Ouled Ayad,32.2,-6.7975,Morocco,Casablanca-Settat,23818
Zawyat an Nwaçer,33.3611,-7.6114,Morocco,Casablanca-Settat,23802
Khenichet-sur Ouerrha,34.4333,-5.6667,Morocco,Rabat-Salé-Kénitra,23707
Ayt Mohamed,32.5667,-6.9833,Morocco,Béni Mellal-Khénifra,23696
Gueznaia,35.7066,-5.9088,Morocco,Tanger-Tétouan-Al Hoceïma,23601
Oulad Hassoune,31.6503,-7.8361,Morocco,Marrakech-Safi,23475
Bni Frassen,34.3833,-4.3833,Morocco,Fès-Meknès,23429
Douar Imoukkane,35.0298,-4.8125,Morocco,Tanger-Tétouan-Al Hoceïma,23132
Tnine Lgharbia,32.5719,-8.8568,Morocco,Casablanca-Settat,23074
Tighedouine,31.4236,-7.5208,Morocco,Marrakech-Safi,22971
Alnif,31.1167,-5.1667,Morocco,Drâa-Tafilalet,22724
Sidi Lmokhtar,31.57,-9.01,Morocco,Marrakech-Safi,22714
Souk Tlet El Gharb,34.6211,-6.1336,Morocco,Rabat-Salé-Kénitra,22554
Arbi’a Tighadwiyn,31.4279,-7.5253,Morocco,Marrakech-Safi,22353
Had Oulad Issa,32.9519,-8.6982,Morocco,Casablanca-Settat,21779
Tidili Masfiywat,31.4667,-7.6167,Morocco,Marrakech-Safi,21706
Sidi Ifni,29.3833,-10.1667,Morocco,Guelmim-Oued Noun,21618
Tamgrout,30.2667,-5.6667,Morocco,Drâa-Tafilalet,21603
Selouane,35.0667,-2.9333,Morocco,Oriental,21570
Amizmiz,31.2167,-8.25,Morocco,Marrakech-Safi,21445
Afourar,32.2167,-6.5,Morocco,Béni Mellal-Khénifra,21382
Asni,31.25,-7.9833,Morocco,Marrakech-Safi,21244
Tabount,30.88,-6.91,Morocco,Drâa-Tafilalet,21198
Imi n’Oulaoun,31.4224,-6.5641,Morocco,Drâa-Tafilalet,21061
Saka,34.6167,-3.4167,Morocco,Oriental,21048
Bni Rzine,35.0108,-4.7262,Morocco,Tanger-Tétouan-Al Hoceïma,20904
El Gara,33.2819,-7.2319,Morocco,Casablanca-Settat,20855
Sidi Abdelkader,33.0494,-8.6886,Morocco,Casablanca-Settat,20854
Imi-n-Tanout,31.16,-8.85,Morocco,Marrakech-Safi,20837
Sidi Chiker,31.7453,-8.7069,Morocco,Marrakech-Safi,20658
Sidi Rahal,33.7897,-7.1575,Morocco,Casablanca-Settat,20628
Station des Essais M.V.A.,34.9352,-2.4306,Morocco,Oriental,20513
Reçani,31.2859,-4.2751,Morocco,Drâa-Tafilalet,20469
Aïn Cheggag,33.8833,-5.0333,Morocco,Fès-Meknès,20456
Sidi Jaber,32.3833,-6.4167,Morocco,Béni Mellal-Khénifra,20432
Jdour,32.1269,-8.7633,Morocco,Marrakech-Safi,20239
Douar Lamrabih,34.8167,-5.8167,Morocco,Rabat-Salé-Kénitra,20187
El Ksiba,32.5681,-6.0308,Morocco,Béni Mellal-Khénifra,20001
Sidi Taibi,34.1917,-6.6845,Morocco,Rabat-Salé-Kénitra,19979
’Ali Ben Sliman,31.91,-7.21,Morocco,Marrakech-Safi,19977
Tarhzirt,32.4333,-6.1833,Morocco,Béni Mellal-Khénifra,19936
Aït Tamlil,31.48,-6.94,Morocco,Béni Mellal-Khénifra,19930
Had Zraqtane,31.45,-7.4,Morocco,Marrakech-Safi,19926
El Mansouria,33.75,-7.3,Morocco,Casablanca-Settat,19853
Oulad Embarek,32.2833,-6.4667,Morocco,Béni Mellal-Khénifra,19774
Oulad Fraj,32.9667,-8.2333,Morocco,Casablanca-Settat,19752
Jnane Bouih,32.0308,-8.7894,Morocco,Marrakech-Safi,19706
